altitud,dir,fecha,horaHrMax,horaHrMin,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,hrMax,hrMedia,hrMin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
15.0,99.0,2026-01-01,23:20,00:10,,,20:50,13:15,04:09,89.0,77.0,55.0,C229J,PÁJARA,0.4,,,LAS PALMAS,8.3,21.5,19.3,17.1,1.9
15.0,26.0,2026-01-02,00:30,23:50,,,17:30,15:39,19:22,89.0,82.0,74.0,C229J,PÁJARA,1.2,,,LAS PALMAS,13.9,21.2,19.4,17.6,6.9
15.0,28.0,2026-01-03,01:20,15:10,,,15:50,15:19,01:29,88.0,70.0,56.0,C229J,PÁJARA,0.0,,,LAS PALMAS,14.7,21.5,19.1,16.7,5.0
15.0,33.0,2026-01-04,10:50,16:10,,,15:40,14:23,02:43,82.0,69.0,62.0,C229J,PÁJARA,2.2,,,LAS PALMAS,13.3,21.5,19.7,17.9,6.7
15.0,7.0,2026-01-05,09:00,15:20,,,17:20,15:48,19:53,80.0,71.0,58.0,C229J,PÁJARA,4.6,,,LAS PALMAS,11.1,21.6,19.4,17.1,3.3
15.0,5.0,2026-01-06,00:20,05:00,,,15:50,13:46,02:41,70.0,55.0,44.0,C229J,PÁJARA,0.2,,,LAS PALMAS,13.6,19.7,18.0,16.3,3.6
15.0,7.0,2026-01-07,23:40,16:10,,,20:50,15:31,05:13,61.0,52.0,38.0,C229J,PÁJARA,0.0,,,LAS PALMAS,15.3,19.8,17.8,15.9,3.3
15.0,1.0,2026-01-08,Varias,22:40,,,06:10,16:31,Varias,62.0,58.0,19.0,C229J,PÁJARA,0.0,,,LAS PALMAS,11.4,19.0,17.6,16.1,4.7
15.0,9.0,2026-01-09,22:50,Varias,,,11:10,17:04,05:09,67.0,58.0,27.0,C229J,PÁJARA,0.0,,,LAS PALMAS,8.9,20.1,18.0,16.0,3.6
15.0,2.0,2026-01-10,20:40,11:00,,,16:00,13:15,24:00,67.0,57.0,48.0,C229J,PÁJARA,0.0,,,LAS PALMAS,11.4,20.1,18.4,16.8,3.1
15.0,8.0,2026-01-11,05:50,15:50,,,12:50,11:01,23:36,70.0,66.0,58.0,C229J,PÁJARA,0.0,,,LAS PALMAS,10.3,19.4,17.9,16.4,3.9
15.0,10.0,2026-01-12,07:40,23:50,,,13:10,14:05,00:31,75.0,68.0,29.0,C229J,PÁJARA,0.0,,,LAS PALMAS,10.0,20.8,18.3,15.8,2.5
15.0,33.0,2026-01-13,15:30,02:50,,,15:10,13:17,07:50,79.0,66.0,36.0,C229J,PÁJARA,0.0,,,LAS PALMAS,16.9,20.3,18.1,15.9,6.1
15.0,3.0,2026-01-14,22:50,15:10,,,16:00,12:38,22:42,74.0,59.0,51.0,C229J,PÁJARA,0.4,,,LAS PALMAS,12.8,19.9,18.2,16.4,3.6
15.0,10.0,2023-02-02,23:10,13:10,11.0,4.0,05:30,13:50,22:40,64.0,49.0,41.0,C229J,PÁJARA,0.0,1023.9,1020.5,LAS PALMAS,13.3,19.9,18.1,16.3,5.8
15.0,10.0,2023-02-03,Varias,Varias,11.0,4.0,10:30,14:40,07:00,71.0,50.0,28.0,C229J,PÁJARA,0.0,1025.3,1022.0,LAS PALMAS,10.0,21.5,18.4,15.3,3.3
15.0,10.0,2023-02-04,11:00,19:10,11.0,17.0,11:30,15:00,07:30,74.0,55.0,48.0,C229J,PÁJARA,0.0,1026.8,1023.8,LAS PALMAS,8.6,21.4,18.5,15.6,3.1
15.0,9.0,2023-02-05,Varias,23:59,11.0,18.0,11:00,18:00,07:10,68.0,58.0,34.0,C229J,PÁJARA,0.0,1026.4,1022.8,LAS PALMAS,9.2,19.9,17.8,15.6,3.1
15.0,35.0,2023-02-06,Varias,02:00,11.0,18.0,18:00,14:40,05:30,65.0,52.0,27.0,C229J,PÁJARA,0.0,1023.7,1019.3,LAS PALMAS,12.5,21.1,18.5,15.9,3.9
15.0,33.0,2023-02-07,04:30,11:50,0.0,Varias,11:40,11:50,02:50,69.0,60.0,54.0,C229J,PÁJARA,0.0,1021.1,1018.7,LAS PALMAS,11.7,20.1,17.9,15.7,3.3
15.0,32.0,2023-02-08,11:00,17:40,11.0,18.0,14:30,,,75.0,59.0,47.0,C229J,PÁJARA,0.5,1022.7,1019.3,LAS PALMAS,8.9,,,,1.1
15.0,9.0,2023-02-09,13:00,23:50,Varias,18.0,22:50,12:20,06:00,72.0,64.0,52.0,C229J,PÁJARA,8.0,1020.7,1016.7,LAS PALMAS,8.9,18.8,16.9,15.0,2.8
15.0,9.0,2023-02-10,10:10,00:30,22.0,7.0,03:30,17:10,06:00,83.0,73.0,50.0,C229J,PÁJARA,2.6,1017.9,1014.8,LAS PALMAS,9.2,18.8,15.7,12.6,3.1
15.0,14.0,2023-02-11,02:50,20:40,12.0,5.0,07:20,16:30,03:10,86.0,66.0,50.0,C229J,PÁJARA,0.0,1019.0,1016.1,LAS PALMAS,11.1,20.4,17.8,15.2,3.3
15.0,10.0,2023-02-12,00:10,18:50,12.0,17.0,23:20,18:30,06:50,62.0,48.0,32.0,C229J,PÁJARA,0.0,1018.9,1016.5,LAS PALMAS,10.6,22.0,19.7,17.4,3.9
15.0,9.0,2023-02-13,23:59,Varias,23.0,15.0,01:00,15:30,23:59,68.0,47.0,43.0,C229J,PÁJARA,0.0,1020.4,1016.8,LAS PALMAS,12.2,21.1,19.8,18.6,4.7
15.0,99.0,2023-02-14,Varias,00:30,11.0,4.0,Varias,17:00,08:00,80.0,72.0,64.0,C229J,PÁJARA,0.0,1023.7,1020.0,LAS PALMAS,9.7,19.0,17.3,15.6,4.7
15.0,33.0,2023-02-15,08:40,14:00,0.0,18.0,14:30,14:10,09:40,80.0,60.0,47.0,C229J,PÁJARA,0.8,1022.9,1019.6,LAS PALMAS,14.4,19.7,17.0,14.4,2.2
15.0,31.0,2023-02-16,23:10,Varias,0.0,Varias,14:30,14:00,06:50,64.0,56.0,46.0,C229J,PÁJARA,0.6,1020.2,1015.5,LAS PALMAS,10.0,20.1,17.0,13.9,1.7
15.0,28.0,2023-02-17,16:50,00:40,24.0,15.0,12:20,09:50,07:50,86.0,78.0,59.0,C229J,PÁJARA,4.4,1017.0,1014.4,LAS PALMAS,12.5,18.2,16.4,14.7,4.7
15.0,32.0,2023-02-18,Varias,16:40,11.0,5.0,17:40,14:40,06:00,79.0,69.0,57.0,C229J,PÁJARA,0.0,1019.1,1016.2,LAS PALMAS,9.4,20.4,17.6,14.7,3.9
15.0,18.0,2023-02-19,06:40,14:40,0.0,17.0,11:20,14:40,07:40,78.0,73.0,60.0,C229J,PÁJARA,0.0,1018.9,1015.3,LAS PALMAS,6.4,22.3,18.6,14.8,1.9
15.0,3.0,2023-02-20,08:00,13:50,11.0,16.0,23:50,,,72.0,62.0,49.0,C229J,PÁJARA,0.0,1017.9,1015.3,LAS PALMAS,9.7,,,,0.8
15.0,2.0,2023-02-21,Varias,Varias,24.0,6.0,08:40,14:50,04:40,70.0,63.0,57.0,C229J,PÁJARA,0.0,1019.0,1015.8,LAS PALMAS,11.7,22.3,20.0,17.8,4.7
15.0,7.0,2023-02-22,02:30,11:00,0.0,18.0,21:20,12:40,07:20,69.0,62.0,57.0,C229J,PÁJARA,2.9,1019.0,1015.4,LAS PALMAS,16.7,22.0,19.8,17.6,4.7
15.0,33.0,2023-02-23,05:10,13:50,0.0,15.0,13:20,,,76.0,65.0,51.0,C229J,PÁJARA,0.1,1016.1,1012.3,LAS PALMAS,16.1,,,,6.7
15.0,30.0,2023-02-24,Varias,16:10,23.0,5.0,01:00,16:10,06:10,72.0,61.0,52.0,C229J,PÁJARA,0.4,1017.8,1013.6,LAS PALMAS,9.7,21.5,18.8,16.1,4.2
15.0,29.0,2023-02-25,Varias,00:00,Varias,18.0,17:30,11:10,06:50,71.0,67.0,61.0,C229J,PÁJARA,0.0,1018.2,1015.4,LAS PALMAS,5.6,20.8,17.9,15.0,2.5
15.0,27.0,2023-02-26,17:20,19:00,Varias,5.0,15:00,19:00,07:50,84.0,80.0,66.0,C229J,PÁJARA,0.0,1019.2,1015.6,LAS PALMAS,7.2,20.5,18.2,16.0,3.3
15.0,33.0,2023-02-27,00:20,12:40,24.0,5.0,14:50,13:10,06:20,73.0,59.0,47.0,C229J,PÁJARA,0.0,1023.5,1018.5,LAS PALMAS,9.7,22.7,20.0,17.4,3.3
15.0,2.0,2023-02-28,Varias,Varias,10.0,17.0,12:40,15:50,05:10,74.0,66.0,60.0,C229J,PÁJARA,0.0,1024.2,1020.9,LAS PALMAS,10.3,23.1,20.5,17.9,4.7
15.0,34.0,2023-03-01,03:40,21:10,0.0,20.0,18:40,12:40,07:50,72.0,63.0,41.0,C229J,PÁJARA,0.0,1022.7,1019.0,LAS PALMAS,14.4,23.2,20.8,18.4,4.2
15.0,1.0,2023-03-02,19:40,00:00,Varias,15.0,03:00,13:30,07:30,74.0,69.0,54.0,C229J,PÁJARA,0.0,1021.5,1019.2,LAS PALMAS,8.1,23.5,20.5,17.5,0.8
15.0,10.0,2023-03-03,16:20,14:30,0.0,16.0,17:00,14:30,21:10,84.0,75.0,60.0,C229J,PÁJARA,0.0,1020.9,1017.1,LAS PALMAS,8.3,23.9,20.8,17.6,3.3
15.0,33.0,2023-03-04,08:10,14:10,1.0,15.0,19:40,16:00,07:30,72.0,67.0,60.0,C229J,PÁJARA,0.0,1019.8,1016.7,LAS PALMAS,6.1,22.9,19.8,16.6,1.4
15.0,10.0,2023-03-05,Varias,00:20,11.0,Varias,08:50,16:00,06:00,80.0,71.0,63.0,C229J,PÁJARA,0.0,1019.4,1016.2,LAS PALMAS,6.9,22.4,19.8,17.1,1.1
15.0,12.0,2023-03-06,00:00,14:50,10.0,19.0,10:50,15:00,07:00,80.0,74.0,62.0,C229J,PÁJARA,0.0,1018.9,1016.2,LAS PALMAS,7.5,23.2,19.8,16.3,1.7
15.0,9.0,2023-03-07,22:40,12:00,11.0,5.0,03:30,14:20,01:40,80.0,67.0,60.0,C229J,PÁJARA,0.0,1019.3,1016.7,LAS PALMAS,5.3,23.4,20.6,17.7,1.4
15.0,99.0,2023-03-08,04:50,16:20,Varias,5.0,13:30,16:30,05:00,83.0,73.0,63.0,C229J,PÁJARA,0.0,1019.7,1016.8,LAS PALMAS,6.1,23.5,20.2,16.8,2.2
15.0,10.0,2023-03-09,16:50,23:20,11.0,5.0,14:40,16:20,03:50,80.0,73.0,44.0,C229J,PÁJARA,0.0,1021.6,1018.3,LAS PALMAS,20.8,23.5,20.6,17.7,3.3
15.0,5.0,2023-03-10,Varias,08:40,11.0,17.0,00:30,12:30,23:59,74.0,64.0,45.0,C229J,PÁJARA,0.0,1021.0,1018.3,LAS PALMAS,8.1,26.9,23.2,19.6,2.8
15.0,11.0,2023-03-11,Varias,00:00,10.0,18.0,12:30,16:50,07:30,87.0,80.0,74.0,C229J,PÁJARA,0.0,1021.1,1017.3,LAS PALMAS,9.7,22.8,19.6,16.4,1.7
15.0,30.0,2023-03-12,Varias,18:50,11.0,17.0,22:50,18:50,04:40,88.0,76.0,59.0,C229J,PÁJARA,0.0,1019.2,1015.9,LAS PALMAS,7.5,25.5,20.4,15.3,1.4
15.0,30.0,2023-03-13,Varias,09:50,11.0,17.0,17:10,12:40,04:20,80.0,60.0,55.0,C229J,PÁJARA,0.0,1020.5,1017.3,LAS PALMAS,10.3,24.8,21.4,18.0,1.1
15.0,9.0,2023-03-14,18:30,09:20,Varias,Varias,14:30,15:00,05:00,74.0,64.0,33.0,C229J,PÁJARA,0.0,1019.0,1015.5,LAS PALMAS,10.0,24.2,20.5,16.8,1.1
15.0,99.0,2023-03-15,23:00,05:20,0.0,6.0,Varias,,,83.0,70.0,58.0,C229J,PÁJARA,0.0,1016.1,1011.5,LAS PALMAS,8.3,,,,1.7
15.0,2.0,2023-03-16,00:20,15:00,23.0,5.0,19:30,15:00,00:50,81.0,56.0,25.0,C229J,PÁJARA,0.0,1015.3,1009.9,LAS PALMAS,16.4,28.4,23.0,17.6,1.7
15.0,1.0,2023-03-17,08:00,15:40,23.0,4.0,04:00,15:40,23:59,75.0,66.0,57.0,C229J,PÁJARA,0.0,1019.9,1014.1,LAS PALMAS,14.2,22.4,20.0,17.7,5.8
15.0,32.0,2023-03-18,22:40,14:40,11.0,16.0,17:20,14:40,05:50,67.0,58.0,51.0,C229J,PÁJARA,0.0,1020.0,1017.0,LAS PALMAS,15.0,22.7,19.9,17.1,4.7
15.0,2.0,2023-03-19,00:30,Varias,0.0,Varias,08:40,12:30,06:00,68.0,59.0,54.0,C229J,PÁJARA,0.0,1018.6,1015.3,LAS PALMAS,15.0,22.5,20.0,17.4,5.0
15.0,2.0,2023-03-20,Varias,14:00,10.0,17.0,18:40,15:10,07:00,65.0,58.0,50.0,C229J,PÁJARA,0.0,1017.7,1014.2,LAS PALMAS,12.5,23.3,20.4,17.4,4.2
15.0,10.0,2023-03-21,Varias,10:30,1.0,Varias,14:00,11:30,07:20,73.0,66.0,40.0,C229J,PÁJARA,0.0,1016.4,1012.9,LAS PALMAS,10.0,24.2,20.5,16.8,1.9
15.0,9.0,2023-03-22,00:00,07:20,24.0,18.0,10:00,14:20,01:50,68.0,37.0,29.0,C229J,PÁJARA,0.0,1014.4,1010.3,LAS PALMAS,12.5,28.2,23.6,18.9,3.3
15.0,31.0,2023-03-23,20:40,05:50,24.0,6.0,17:20,05:50,04:20,77.0,56.0,28.0,C229J,PÁJARA,0.0,1016.8,1012.1,LAS PALMAS,9.7,25.5,22.0,18.4,3.3
15.0,12.0,2023-03-24,Varias,23:50,11.0,4.0,10:00,10:10,07:00,83.0,69.0,27.0,C229J,PÁJARA,0.0,1019.3,1015.9,LAS PALMAS,7.5,27.2,22.6,18.0,1.9
15.0,9.0,2023-03-25,20:20,01:20,11.0,4.0,11:20,01:30,Varias,82.0,61.0,20.0,C229J,PÁJARA,0.0,1020.5,1017.6,LAS PALMAS,9.7,26.7,23.2,19.6,1.9
15.0,10.0,2023-03-26,20:40,06:10,11.0,5.0,01:40,06:00,04:20,85.0,56.0,14.0,C229J,PÁJARA,0.0,1020.4,1017.0,LAS PALMAS,14.7,25.9,21.6,17.3,3.6
15.0,31.0,2023-03-27,19:20,14:00,0.0,18.0,20:00,15:30,06:00,84.0,74.0,65.0,C229J,PÁJARA,0.0,1018.9,1014.9,LAS PALMAS,8.9,24.3,20.2,16.2,1.4
15.0,33.0,2023-03-28,21:50,12:20,0.0,17.0,22:50,13:20,03:40,87.0,64.0,54.0,C229J,PÁJARA,0.0,1016.6,1013.5,LAS PALMAS,8.3,25.7,21.8,18.0,0.8
15.0,2.0,2023-03-29,Varias,09:50,24.0,5.0,23:40,13:30,01:20,86.0,29.0,14.0,C229J,PÁJARA,0.0,1019.0,1015.2,LAS PALMAS,13.6,35.4,27.0,18.6,1.9
15.0,2.0,2023-03-30,18:40,21:10,23.0,4.0,03:20,21:10,18:30,64.0,30.0,16.0,C229J,PÁJARA,0.0,1020.9,1017.7,LAS PALMAS,15.8,36.9,30.6,24.4,3.6
15.0,3.0,2023-03-31,12:10,22:10,12.0,3.0,00:10,16:20,12:10,70.0,43.0,22.0,C229J,PÁJARA,0.0,1022.7,1019.4,LAS PALMAS,16.1,32.5,27.8,23.1,2.2
15.0,3.0,2023-04-01,14:00,Varias,11.0,19.0,22:10,13:30,06:50,76.0,61.0,31.0,C229J,PÁJARA,0.0,1023.2,1019.1,LAS PALMAS,10.0,27.0,23.7,20.4,1.7
15.0,24.0,2023-04-02,06:30,03:50,Varias,18.0,17:10,16:40,06:30,70.0,62.0,43.0,C229J,PÁJARA,,1020.2,1016.4,LAS PALMAS,8.1,26.5,22.8,19.1,1.9
15.0,1.0,2023-04-04,23:30,10:00,10.0,16.0,07:00,10:10,23:20,75.0,67.0,53.0,C229J,PÁJARA,0.6,1016.3,1013.1,LAS PALMAS,18.3,21.7,19.2,16.6,4.7
15.0,32.0,2023-04-05,02:00,Varias,23.0,4.0,01:40,15:00,03:10,76.0,69.0,64.0,C229J,PÁJARA,0.0,1014.6,1011.2,LAS PALMAS,18.9,21.4,18.7,16.0,5.0
15.0,34.0,2023-04-06,00:40,12:50,11.0,18.0,02:20,13:30,04:00,75.0,62.0,56.0,C229J,PÁJARA,0.0,1015.1,1011.6,LAS PALMAS,16.1,23.2,20.7,18.2,4.2
15.0,35.0,2023-04-07,05:00,15:40,Varias,18.0,00:40,13:40,05:50,72.0,60.0,53.0,C229J,PÁJARA,0.0,1014.3,1011.4,LAS PALMAS,10.8,23.4,20.7,18.0,1.9
15.0,33.0,2023-04-08,03:50,14:30,Varias,5.0,14:20,15:20,06:20,72.0,60.0,51.0,C229J,PÁJARA,0.0,1015.8,1012.9,LAS PALMAS,8.9,24.1,20.8,17.6,3.6
15.0,7.0,2023-04-09,15:50,19:50,22.0,5.0,21:30,15:00,05:00,76.0,68.0,54.0,C229J,PÁJARA,0.0,1017.9,1014.1,LAS PALMAS,9.2,24.3,20.3,16.3,2.5
15.0,9.0,2023-04-10,00:00,20:40,11.0,1.0,11:10,16:50,00:10,74.0,29.0,20.0,C229J,PÁJARA,0.0,1019.2,1014.3,LAS PALMAS,13.9,32.5,26.4,20.2,5.3
15.0,6.0,2023-04-11,,,,,03:50,,,,46.0,,C229J,PÁJARA,0.0,,,LAS PALMAS,14.7,,,,4.2
15.0,2.0,2023-04-12,01:40,00:10,24.0,5.0,05:00,00:10,02:30,81.0,57.0,25.0,C229J,PÁJARA,0.0,1018.4,1014.6,LAS PALMAS,14.2,31.1,25.6,20.2,1.7
15.0,35.0,2023-04-13,Varias,15:50,11.0,16.0,18:00,15:50,07:00,77.0,66.0,54.0,C229J,PÁJARA,0.0,1019.8,1016.8,LAS PALMAS,14.4,25.6,21.9,18.2,3.6
15.0,11.0,2023-04-14,21:10,15:10,10.0,17.0,14:00,15:30,06:20,74.0,67.0,58.0,C229J,PÁJARA,0.0,1019.6,1016.4,LAS PALMAS,11.4,24.4,20.8,17.3,2.2
15.0,7.0,2023-04-15,21:00,23:10,0.0,23.0,23:40,14:40,06:10,79.0,70.0,60.0,C229J,PÁJARA,0.0,1017.5,1013.0,LAS PALMAS,8.6,24.6,20.7,16.8,1.4
15.0,2.0,2023-04-16,Varias,15:40,0.0,19.0,18:50,14:50,02:40,81.0,67.0,54.0,C229J,PÁJARA,0.0,1013.1,1009.3,LAS PALMAS,11.4,25.6,22.1,18.6,2.5
15.0,29.0,2023-04-17,21:40,15:20,0.0,19.0,17:50,13:00,04:30,76.0,65.0,55.0,C229J,PÁJARA,0.0,1009.7,1006.6,LAS PALMAS,12.8,23.5,21.0,18.5,5.0
15.0,32.0,2023-04-18,06:00,12:30,23.0,6.0,11:30,12:30,02:00,79.0,72.0,62.0,C229J,PÁJARA,0.0,1011.2,1006.1,LAS PALMAS,13.3,23.2,21.0,18.7,4.4
15.0,1.0,2023-04-19,Varias,12:20,22.0,4.0,03:20,12:20,02:30,74.0,63.0,55.0,C229J,PÁJARA,0.0,1015.5,1009.8,LAS PALMAS,17.8,23.5,21.2,18.9,4.4
15.0,3.0,2023-04-20,03:30,11:30,0.0,17.0,21:50,15:50,07:00,71.0,59.0,53.0,C229J,PÁJARA,0.0,1015.3,1011.3,LAS PALMAS,11.7,23.6,21.0,18.3,2.5
15.0,32.0,2023-04-21,23:59,13:00,23.0,18.0,15:20,13:10,06:40,78.0,62.0,57.0,C229J,PÁJARA,0.0,1014.7,1011.0,LAS PALMAS,10.3,23.5,20.8,18.1,3.3
15.0,1.0,2023-04-22,Varias,14:20,23.0,16.0,18:20,15:10,03:10,83.0,68.0,53.0,C229J,PÁJARA,0.0,1015.1,1012.1,LAS PALMAS,11.9,26.2,22.2,18.3,2.2
15.0,32.0,2023-04-23,00:00,Varias,Varias,5.0,16:30,15:00,07:00,75.0,60.0,51.0,C229J,PÁJARA,0.0,1015.8,1013.1,LAS PALMAS,10.6,24.6,21.6,18.7,3.1
15.0,2.0,2023-04-24,23:40,10:00,23.0,16.0,18:40,15:50,06:30,75.0,68.0,61.0,C229J,PÁJARA,0.0,1015.6,1012.8,LAS PALMAS,7.5,25.1,21.8,18.4,1.4
15.0,30.0,2023-04-25,04:40,14:50,0.0,Varias,14:50,16:10,06:50,79.0,71.0,62.0,C229J,PÁJARA,0.0,1015.2,1012.2,LAS PALMAS,7.2,25.8,22.2,18.6,0.8
15.0,1.0,2023-04-26,03:20,19:00,0.0,19.0,20:30,16:20,03:30,84.0,75.0,38.0,C229J,PÁJARA,0.0,1013.5,1009.5,LAS PALMAS,15.6,28.0,23.4,18.7,1.7
15.0,33.0,2023-04-27,01:00,17:40,23.0,6.0,20:30,15:40,05:50,77.0,72.0,62.0,C229J,PÁJARA,0.0,1014.9,1011.4,LAS PALMAS,10.0,25.3,22.6,19.8,1.9
15.0,27.0,2023-04-28,08:40,13:10,23.0,3.0,10:30,13:10,06:30,81.0,73.0,65.0,C229J,PÁJARA,0.0,1018.4,1013.2,LAS PALMAS,8.6,25.4,21.9,18.4,0.8
15.0,33.0,2023-04-29,18:00,23:30,10.0,18.0,21:20,15:40,06:20,74.0,57.0,30.0,C229J,PÁJARA,0.0,1018.6,1015.7,LAS PALMAS,8.6,27.2,23.6,20.1,1.4
15.0,29.0,2023-04-30,Varias,00:20,1.0,18.0,17:10,18:20,06:20,74.0,62.0,29.0,C229J,PÁJARA,0.0,1017.0,1014.4,LAS PALMAS,9.2,28.4,25.0,21.6,2.5
15.0,31.0,2023-05-01,23:10,10:10,0.0,18.0,11:20,10:30,05:30,77.0,58.0,38.0,C229J,PÁJARA,0.0,1016.2,1012.4,LAS PALMAS,8.3,28.5,24.4,20.4,1.1
15.0,26.0,2023-05-02,16:40,18:40,24.0,18.0,17:10,18:00,05:00,85.0,61.0,28.0,C229J,PÁJARA,0.0,1014.5,1010.9,LAS PALMAS,10.0,30.1,24.2,18.2,1.1
15.0,36.0,2023-05-03,07:00,14:10,23.0,2.0,23:40,14:40,02:40,76.0,64.0,37.0,C229J,PÁJARA,0.0,1020.1,1013.4,LAS PALMAS,14.7,30.8,25.8,20.8,2.2
15.0,34.0,2023-05-04,00:00,13:00,22.0,4.0,02:30,,,74.0,56.0,45.0,C229J,PÁJARA,0.0,1021.9,1018.4,LAS PALMAS,15.0,,,,4.7
15.0,6.0,2023-05-05,Varias,12:50,0.0,18.0,22:50,11:50,05:50,67.0,59.0,53.0,C229J,PÁJARA,0.0,1021.6,1018.3,LAS PALMAS,13.9,25.0,22.4,19.8,3.3
15.0,3.0,2023-05-06,23:50,12:50,11.0,17.0,22:50,13:40,03:10,74.0,65.0,57.0,C229J,PÁJARA,0.0,1020.6,1017.4,LAS PALMAS,18.6,25.2,22.6,20.1,2.2
15.0,3.0,2023-05-07,00:10,09:50,Varias,16.0,21:30,12:30,05:00,75.0,65.0,55.0,C229J,PÁJARA,0.0,1019.1,1015.8,LAS PALMAS,21.4,24.4,22.4,20.4,6.1
